DeviceName,Minimum Secure Boot BIOS,SMBios Version
LAPAZ-IxfDpXy9y,R2IET30W (v1.30) ,
LAPH-DYL,R2IET30W (v1.30) ,
LAPH-PW0C5R38,R2IET30W (v1.30) ,
LAPH-PW0C5R3B,R2IET30W (v1.30) ,
LAPH-PW0C5RAS,R2IET30W (v1.30) ,
LAPH-PW0C5RB2,R2IET30W (v1.30) ,
LAPH-PW0C5RB5,R2IET30W (v1.30) ,
LAPH-PW0C5RB9,R2IET30W (v1.30) ,
LAPH-PW0C5RBQ,R2IET30W (v1.30) ,
LAPH-PW0C5RCR,R2IET30W (v1.30) ,
LAPH-PW0C5RCY,R2IET30W (v1.30) ,
LAPH-PW0C5RDG,R2IET30W (v1.30) ,
LAPH-PW0C5RE9,R2IET30W (v1.30) ,
LAPH-PW0C5RF2,R2IET30W (v1.30) ,
LAPH-PW0C5RFG,R2IET30W (v1.30) ,
LAPH-PW0C5RFQ,R2IET30W (v1.30) ,
LAPH-PW0C5RFS,R2IET30W (v1.30) ,
LAPH-PW0C5RFT,R2IET30W (v1.30) ,
LAPH-PW0C5RG0,R2IET30W (v1.30) ,
LAPH-PW0C5RG4,R2IET30W (v1.30) ,
LAPH-PW0C5RGW,R2IET30W (v1.30) ,
LAPH-PW0C5RGZ,R2IET30W (v1.30) ,
LAPH-PW0EQ0RD,R2IET30W (v1.30) ,
LAPH-PW0EQ0SX,R2IET30W (v1.30) ,
LAPH-PW0EQ0T3,R2IET30W (v1.30) ,
LAPH-PW0EQ0TM,R2IET30W (v1.30) ,
LAPH-PW0EQ0TT,R2IET30W (v1.30) ,
LAPH-PW0EQ0TV,R2IET30W (v1.30) ,
LAPH-PW0EQ0TX,R2IET30W (v1.30) ,
LAPH-PW0EQ0V2,R2IET30W (v1.30) ,
LAPH-PW0EQ0V4,R2IET30W (v1.30) ,
LAPH-PW0EQ0V5,R2IET30W (v1.30) ,
LAPH-PW0EQ0V8,R2IET30W (v1.30) ,
LAPH-PW0EQ0V9,R2IET30W (v1.30) ,
LAPH-PW0EQ0VB,R2IET30W (v1.30) ,
LAPH-PW0EQ0VC,R2IET30W (v1.30) ,
LAPH-PW0EQ0VL,R2IET30W (v1.30) ,
LAPH-PW0EQ0VQ,R2IET30W (v1.30) ,
LAPH-PW0EQ0VT,R2IET30W (v1.30) ,
LAPH-PW0EQ0VY,R2IET30W (v1.30) ,
LAPH-PW0EQ0VZ,R2IET30W (v1.30) ,
LAPH-PW0EQ0W1,R2IET30W (v1.30) ,
LAPH-PW0EQ0W2,R2IET30W (v1.30) ,
LAPH-PW0EQ0W6,R2IET30W (v1.30) ,
LAPH-PW0EQ0WB,R2IET30W (v1.30) ,
LAPH-PW0EQ0WC,R2IET30W (v1.30) ,
LAPH-PW0EQ0WE,R2IET30W (v1.30) ,
LAPH-PW0EQ0WF,R2IET30W (v1.30) ,
LAPH-PW0EQ0WG,R2IET30W (v1.30) ,
LAPH-PW0EQ0WH,R2IET30W (v1.30) ,
LAPH-PW0EQ0WM,R2IET30W (v1.30) ,
LAPH-PW0EQ0WR,R2IET30W (v1.30) ,
LAPH-PW0EQ0WV,R2IET30W (v1.30) ,
LAPH-PW0EQ0X0,R2IET30W (v1.30) ,
LAPH-PW0EQ0X2,R2IET30W (v1.30) ,
LAPH-PW0EQ0X6,R2IET30W (v1.30) ,
LAPH-PW0EQ0X8,R2IET30W (v1.30) ,
LAPH-PW0EQ0X9,R2IET30W (v1.30) ,
LAPH-PW0EQ0XA,R2IET30W (v1.30) ,
LAPH-PW0EQ0XC,R2IET30W (v1.30) ,
LAPH-PW0EQ0XH,R2IET30W (v1.30) ,
LAPH-PW0EQ0XL,R2IET30W (v1.30) ,
LAPH-PW0EQ0XM,R2IET30W (v1.30) ,
LAPH-PW0EQ0XN,R2IET30W (v1.30) ,
LAPH-PW0EQ0XP,R2IET30W (v1.30) ,
LAPH-PW0EQ0XQ,R2IET30W (v1.30) ,
LAPH-PW0EQ0XR,R2IET30W (v1.30) ,
LAPH-PW0EQ0XS,R2IET30W (v1.30) ,
LAPH-PW0EQ0XT,R2IET30W (v1.30) ,
LAPH-PW0EQ0XW,R2IET30W (v1.30) ,
LAPH-PW0EQ0XX,R2IET30W (v1.30) ,
LAPH-PW0EQ0XY,R2IET30W (v1.30) ,
LAPH-PW0EQ0XZ,R2IET30W (v1.30) ,
LAPH-PW0EQ0Y0,R2IET30W (v1.30) ,
LAPH-PW0EQ0Y1,R2IET30W (v1.30) ,
LAPH-PW0EQ0Y4,R2IET30W (v1.30) ,
LAPH-PW0FDJM1,R2IET30W (v1.30) ,
LAPH-PW0FDJM3,R2IET30W (v1.30) ,
LAPH-PW0FDJM5,R2IET30W (v1.30) ,
LAPH-PW0FDJMG,R2IET30W (v1.30) ,
LAPH-PW0FDJMH,R2IET30W (v1.30) ,
LAPH-PW0FDJML,R2IET30W (v1.30) ,
LAPH-PW0FDJMM,R2IET30W (v1.30) ,
LAPH-PW0FDJMN,R2IET30W (v1.30) ,
LAPH-PW0FDJMW,R2IET30W (v1.30) ,
LAPH-PW0FDJMY,R2IET30W (v1.30) ,
LAPH-PW0FDJMZ,R2IET30W (v1.30) ,
LAPH-PW0FDJNC,R2IET30W (v1.30) ,
LAPH-PW0FDJNG,R2IET30W (v1.30) ,
LAPH-PW0FDJNJ,R2IET30W (v1.30) ,
LAPH-PW0FDJNP,R2IET30W (v1.30) ,
LAPH-PW0FDJP2,R2IET30W (v1.30) ,
LAPH-PW0FDJPF,R2IET30W (v1.30) ,
LAPH-PW0FDJPM,R2IET30W (v1.30) ,
LAPH-PW0FDJPP,R2IET30W (v1.30) ,
LAPH-PW0FDJPW,R2IET30W (v1.30) ,
LAPH-PW0GS48F,R2IET30W (v1.30) ,
LAPH-PW0GS49H,R2IET30W (v1.30) ,
LAPH-PW0GS4FE,R2IET30W (v1.30) ,
LAPH-PW0GS4FH,R2IET30W (v1.30) ,
LAPH-PW0GS4FV,R2IET30W (v1.30) ,
LAPH-PW0GS4G2,R2IET30W (v1.30) ,
LAPKARENJ,R2IET30W (v1.30) ,
LAPP0C5RHR,R2IET30W (v1.30) ,
LAPPW05RES,R2IET30W (v1.30) ,
LAPPW0C5R37,R2IET30W (v1.30) ,
LAPPW0C5R39,R2IET30W (v1.30) ,
LAPPW0C5R3A,R2IET30W (v1.30) ,
LAPPW0C5R3D,R2IET30W (v1.30) ,
LAPPW0C5RAQ,R2IET30W (v1.30) ,
LAPPW0C5RAR,R2IET30W (v1.30) ,
LAPPW0C5RAX,R2IET30W (v1.30) ,
LAPPW0C5RB0,R2IET30W (v1.30) ,
LAPPW0C5RB4,R2IET30W (v1.30) ,
LAPPW0C5RBB,R2IET30W (v1.30) ,
LAPPW0C5RBE,R2IET30W (v1.30) ,
LAPPW0C5RBF,R2IET30W (v1.30) ,
LAPPW0C5RBH,R2IET30W (v1.30) ,
LAPPW0C5RBK,R2IET30W (v1.30) ,
LAPPW0C5RBM,R2IET30W (v1.30) ,
LAPPW0C5RBN,R2IET30W (v1.30) ,
LAPPW0C5RBS,R2IET30W (v1.30) ,
LAPPW0C5RBW,R2IET30W (v1.30) ,
LAPPW0C5RC1,R2IET30W (v1.30) ,
LAPPW0C5RC4,R2IET30W (v1.30) ,
LAPPW0C5RC7,R2IET30W (v1.30) ,
LAPPW0C5RC8,R2IET30W (v1.30) ,
LAPPW0C5RC9,R2IET30W (v1.30) ,
LAPPW0C5RCA,R2IET30W (v1.30) ,
LAPPW0C5RCE,R2IET30W (v1.30) ,
LAPPW0C5RCK,R2IET30W (v1.30) ,
LAPPW0C5RCN,R2IET30W (v1.30) ,
LAPPW0C5RCP,R2IET30W (v1.30) ,
LAPPW0C5RCS,R2IET30W (v1.30) ,
LAPPW0C5RCW,R2IET30W (v1.30) ,
LAPPW0C5RCX,R2IET30W (v1.30) ,
LAPPW0C5RCZ,R2IET30W (v1.30) ,
LAPPW0C5RD0,R2IET30W (v1.30) ,
LAPPW0C5RD4,R2IET30W (v1.30) ,
LAPPW0C5RDB,R2IET30W (v1.30) ,
LAPPW0C5RDC,R2IET30W (v1.30) ,
LAPPW0C5RDL,R2IET30W (v1.30) ,
LAPPW0C5RDM,R2IET30W (v1.30) ,
LAPPW0C5RDN,R2IET30W (v1.30) ,
LAPPW0C5RDS,R2IET30W (v1.30) ,
LAPPW0C5RDT,R2IET30W (v1.30) ,
LAPPW0C5RDV,R2IET30W (v1.30) ,
LAPPW0C5RDZ,R2IET30W (v1.30) ,
LAPPW0C5RE5,R2IET30W (v1.30) ,
LAPPW0C5REH,R2IET30W (v1.30) ,
LAPPW0C5REL,R2IET30W (v1.30) ,
LAPPW0C5REV,R2IET30W (v1.30) ,
LAPPW0C5REX,R2IET30W (v1.30) ,
LAPPW0C5REZ,R2IET30W (v1.30) ,
